IP:PORT, LOSS, DELAY
Active code page: 65001:943,0.00%,timeout ms
Active code page: 65001:4500,0.00%,timeout ms
162.159.195.141:4500,0.00%,33 ms
162.159.192.29:4500,0.00%,33 ms
162.159.195.164:943,0.00%,33 ms
188.114.97.140:4500,0.00%,33 ms
188.114.97.30:4500,0.00%,33 ms
188.114.97.30:943,0.00%,33 ms
188.114.97.140:943,0.00%,33 ms
188.114.96.49:4500,0.00%,33 ms
188.114.96.109:943,0.00%,33 ms
188.114.96.104:4500,0.00%,34 ms
162.159.192.126:4500,0.00%,34 ms
188.114.97.139:4500,0.00%,34 ms
188.114.97.103:4500,0.00%,34 ms
188.114.97.96:943,0.00%,34 ms
188.114.96.227:943,0.00%,34 ms
162.159.192.128:4500,0.00%,34 ms
162.159.195.164:4500,0.00%,34 ms
188.114.96.67:4500,0.00%,34 ms
162.159.192.88:943,0.00%,34 ms
188.114.97.77:943,0.00%,34 ms
188.114.96.68:943,0.00%,34 ms
188.114.96.69:4500,0.00%,34 ms
162.159.192.141:4500,0.00%,34 ms
162.159.195.187:4500,0.00%,34 ms
162.159.192.199:943,0.00%,34 ms
162.159.192.139:4500,0.00%,34 ms
188.114.97.255:943,0.00%,34 ms
188.114.96.49:943,0.00%,34 ms
162.159.195.168:4500,0.00%,34 ms
188.114.97.155:4500,0.00%,35 ms
188.114.97.239:4500,0.00%,35 ms
188.114.96.68:4500,0.00%,35 ms
188.114.97.239:943,0.00%,35 ms
188.114.98.69:943,0.00%,177 ms
188.114.98.214:943,0.00%,177 ms
188.114.98.99:4500,0.00%,178 ms
188.114.98.99:943,0.00%,178 ms
188.114.99.196:4500,0.00%,178 ms
188.114.97.154:943,0.00%,179 ms
162.159.195.234:4500,0.00%,179 ms
162.159.195.32:4500,0.00%,182 ms
188.114.99.196:943,0.00%,182 ms
188.114.99.13:943,0.00%,186 ms
188.114.99.156:4500,0.00%,187 ms
188.114.96.109:4500,0.00%,187 ms
162.159.195.235:943,0.00%,188 ms
188.114.98.37:4500,0.00%,188 ms
188.114.97.105:943,0.00%,189 ms
188.114.98.163:943,0.00%,189 ms
188.114.96.204:4500,0.00%,189 ms
188.114.98.245:4500,0.00%,190 ms
188.114.99.245:943,0.00%,190 ms
162.159.192.41:943,0.00%,190 ms
188.114.98.143:943,0.00%,191 ms
188.114.98.163:4500,10.00%,257 ms
188.114.99.19:943,10.00%,257 ms
188.114.98.28:943,10.00%,260 ms
162.159.195.32:943,10.00%,260 ms
